tweet,label,puntaje positivo,puntaje negativo,puntaje neutral,sentimiento clasificado,valor sentimiento,tiempo fuzzificación,tiempo defuzzificación,tiempo total
loooooooovvvvvveee kindle dx cool fantastic right,Positivo,0.457,0.31,0.233,Positivo,6.6893563101875335,0.0,0.0,0.0
reading kindle love lee childs good read,Positivo,0.587,0.0,0.413,Neutro,3.679916819399408,0.0,0.0,0.0
ok first assesment kindle fucking rocks,Positivo,0.306,0.0,0.694,Neutro,5.21528905876732,0.0,0.0,0.0
love kindle mine months never looked back new big one huge need remorse,Positivo,0.349,0.113,0.538,Neutro,4.950000000000001,0.0,0.0,0.0
fair enough kindle think perfect,Positivo,0.667,0.0,0.333,Neutro,4.499389416553595,0.0,0.0,0.0
big quite happy kindle,Positivo,0.571,0.0,0.429,Neutro,3.4445390819326143,0.0,0.0,0.0
fuck economy hate aig non loan given asses,Negativo,0.0,0.545,0.455,Positivo,6.918494623655915,0.0,0.0,0.0
jquery new best friend,Positivo,0.787,0.0,0.213,Neutro,4.9499999999999975,0.0,0.0,0.0
loves twitter,Positivo,0.787,0.0,0.213,Neutro,4.9499999999999975,0.0,0.0,0.0
love obama makes jokes,Positivo,0.756,0.0,0.244,Neutro,4.950000000000002,0.0,0.0,0.0
firmly believe obama pelosi zero desire civil charade slogan want destroy conservatism,Negativo,0.242,0.212,0.545,Neutro,4.949999999999999,0.0,0.0,0.0
house correspondents dinner last night whoopi barbara amp sherri went obama got standing ovation,Positivo,0.0,0.0,1.0,Neutro,4.95,0.0,0.0,0.0
watchin espn jus seen new nike commerical puppet lebron sh hilarious lmao,Positivo,0.398,0.0,0.602,Neutro,6.018362149845865,0.0,0.0,0.0
dear nike stop flywire shit waste science ugly love,Negativo,0.313,0.548,0.138,Positivo,6.8594571670907545,0.0,0.0,0.0
lebron best athlete generation time basketball related want get inter sport debates,Positivo,0.355,0.0,0.645,Neutro,5.569929078014185,0.0,0.0,0.0
